Rank,Address,Label,Current Balance,Total Received,Total Sent,Transactions,First Seen,Last Seen,Status,Accessibility,Type,Vulnerability
148,1F4N1oMNXJJRF33qcYkk58tZbEhGNH8NXN,,1501.18 BTC,1501.18 BTC,0.00 BTC,27.0,Multiple Txs (Old),2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
149,38fW4PLwRLqWKHWgE6R2i7k2P9jyACvKUc,,1500.50 BTC,1500.50 BTC,0.00 BTC,26.0,Multiple Txs (Old),2025-10-29,Dormant,Unspent/Lost Keys?,P2SH (3...),
150,3Dq1AfreNRssqJ3uwvudULVKhaFL2hSLqU,,1500.50 BTC,1500.50 BTC,0.00 BTC,25.0,2017-11-29,2025-10-29,Dormant,Unspent/Lost Keys?,P2SH (3...),
151,1PzfwiEeLJzXHjCJXNRwDaKiDoj9sGE1sp,,1500.03 BTC,1500.03 BTC,0.00 BTC,25.0,2017-08-03,2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
152,13oRbW4P5kYaSX4UXAyd5VsSYr8x5hX2Pv,,1500.00 BTC,1500.00 BTC,0.00 BTC,29.0,Multiple Txs (Old),2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
153,174NVbudzKV1jZnZvRzKvauZxnq25NfG4v,,1500.00 BTC,3307.65 BTC,1807.65 BTC,34.0,Multiple Txs (Old),2025-10-29,Spent/Active,Unknown,Legacy (1...),
154,13byMcDPivr2fSnG1ZetpRC2gY7NiNTwJA,,1500.00 BTC,1500.00 BTC,0.00 BTC,25.0,2018-02-22,2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
155,1Qj994hD27DRq2g3tL2feV3XXkffUXsMS,,1500.00 BTC,1500.00 BTC,0.00 BTC,24.0,2018-02-22,2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
156,19f7nPeS4pX5u1CSYnymzMpPZx5K9gumLh,,1500.00 BTC,1500.00 BTC,0.00 BTC,22.0,2018-05-07,2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
157,1Fkhvum7YANk14mQ4cRQFPXph7cHWLedXv,,1491.95 BTC,1491.95 BTC,0.00 BTC,29.0,Multiple Txs (Old),2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
158,14mYYUZJPUMgofvURnFY65YRSj1uqDzXBj,,1482.37 BTC,1482.37 BTC,0.00 BTC,30.0,Multiple Txs (Old),2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
